filename,umap_3d_kmeans,tsne_3d_kmeans,pca_3d_kmeans,pca_256D_kmeans,umap_3d_hdbscan,tsne_3d_hdbscan,umap_3d_silhouette,tsne_3d_silhouette,pca_3d_hdbscan,pca_256D_hdbscan,umap_20d_hdbscan,tsne_20d_hdbscan,ToReview,Prediction
channelA_2025-05-16_14-00-28.wav,2,,21,5,3,,0,,0,1,3,,False,
channelA_2025-05-16_14-03-23.wav,6,,5,21,3,,3,,0,1,3,,True,
channelA_2025-05-16_14-12-43.wav,14,,19,0,3,,3,,0,1,3,,False,
channelA_2025-05-16_14-24-42.wav,11,,16,4,3,,0,,0,1,3,,False,
channelA_2025-05-16_14-40-08.wav,1,2,20,12,3,3,3,1,25,1,3,0,True,
channelA_2025-05-16_14-40-38.wav,15,20,20,12,3,3,0,3,25,1,3,1,True,
channelA_2025-05-16_14-42-13.wav,15,,20,12,3,,0,,25,1,3,,True,
channelA_2025-05-16_15-00-08.wav,24,19,15,17,3,3,4,0,0,1,3,0,False,
channelA_2025-05-16_15-00-18.wav,14,,20,0,3,,0,,25,1,3,,True,
channelA_2025-05-16_15-10-27.wav,22,10,19,7,3,3,3,1,0,1,3,9,True,
channelA_2025-05-16_15-11-57.wav,14,,16,0,3,,3,,25,1,3,,True,
channelA_2025-05-16_15-14-22.wav,1,,20,14,3,,0,,25,1,3,,True,
channelA_2025-05-16_15-22-43.wav,14,2,19,0,3,0,3,1,25,1,3,0,True,
channelA_2025-05-16_15-24-08.wav,24,,15,11,3,,4,,0,1,3,,False,
channelA_2025-05-16_15-24-13.wav,24,,3,10,3,,4,,20,1,3,,True,
channelA_2025-05-16_15-30-08.wav,1,,20,12,3,,0,,25,1,3,,True,
channelA_2025-05-16_15-34-43.wav,18,,1,5,3,,0,,25,1,3,,True,
channelA_2025-05-16_15-41-03.wav,7,,15,11,3,,4,,0,0,3,,False,
channelA_2025-05-16_15-43-38.wav,15,20,20,12,3,3,0,3,25,1,3,0,True,
channelA_2025-05-16_15-50-32.wav,22,10,19,12,3,0,3,1,25,1,3,0,True,
channelA_2025-05-16_15-52-12.wav,14,,20,0,3,,3,,25,1,3,,True,
channelA_2025-05-16_15-53-12.wav,7,,11,11,3,,4,,0,1,3,,False,
channelA_2025-05-16_15-53-32.wav,15,2,16,4,3,0,0,1,25,1,3,0,True,
channelA_2025-05-16_16-01-48.wav,7,,11,24,3,,4,,0,0,3,,False,
channelA_2025-05-16_16-01-58.wav,24,,21,10,3,,4,,0,1,3,,False,
channelA_2025-05-16_16-02-43.wav,22,,19,7,3,,3,,0,1,3,,True,
channelA_2025-05-16_16-11-08.wav,15,,20,12,3,,0,,25,0,3,,True,
channelA_2025-05-16_16-13-38.wav,14,2,1,0,3,0,0,2,25,1,3,0,True,
channelA_2025-05-16_16-13-53.wav,7,,6,6,3,,4,,0,0,3,,False,
channelA_2025-05-16_16-14-38.wav,11,,20,4,3,,0,,25,1,3,,True,
channelA_2025-05-16_16-14-58.wav,11,15,20,12,3,3,0,3,25,1,3,0,True,
channelA_2025-05-16_16-21-17.wav,20,,16,0,1,,4,,0,0,1,,True,
channelA_2025-05-16_16-30-28.wav,15,,16,12,3,,0,,0,0,3,,True,
channelA_2025-05-16_16-30-43.wav,7,,11,11,3,,4,,0,1,3,,False,
channelA_2025-05-16_16-33-18.wav,6,,5,21,3,,3,,0,1,3,,True,
channelA_2025-05-16_16-33-33.wav,6,,19,21,3,,3,,25,1,3,,True,
channelA_2025-05-16_16-40-02.wav,11,11,1,4,3,0,0,3,25,1,3,0,True,
channelA_2025-05-16_16-42-22.wav,24,,3,10,3,,4,,16,1,3,,True,
channelA_2025-05-16_16-44-52.wav,2,,21,10,3,,4,,23,1,3,,True,
channelA_2025-05-16_16-51-38.wav,21,7,19,12,4,0,3,1,0,1,4,0,True,
channelA_2025-05-16_16-51-48.wav,21,,5,12,4,,3,,0,1,4,,True,
channelA_2025-05-16_16-51-53.wav,21,,19,12,4,,3,,0,1,4,,True,
channelA_2025-05-16_16-51-58.wav,21,,20,14,4,,3,,25,1,4,,True,
channelA_2025-05-16_16-52-28.wav,21,7,20,0,4,0,3,1,25,1,4,0,True,
channelA_2025-05-16_16-52-53.wav,21,,19,0,4,,3,,25,1,4,,True,
channelA_2025-05-16_16-53-13.wav,21,7,19,14,4,0,3,1,0,1,4,0,True,
channelA_2025-05-16_16-53-18.wav,21,,19,0,4,,3,,0,1,4,,True,
channelA_2025-05-16_16-53-23.wav,21,,5,10,4,,3,,0,1,4,,True,
channelA_2025-05-16_16-53-28.wav,21,,19,12,4,,3,,0,1,4,,True,
channelA_2025-05-16_16-53-33.wav,21,,19,14,4,,3,,0,1,4,,True,
channelA_2025-05-16_16-53-38.wav,21,,19,12,4,,3,,0,1,4,,True,
channelA_2025-05-16_16-53-43.wav,21,,19,14,4,,3,,0,1,4,,True,
channelA_2025-05-16_16-53-48.wav,21,,5,0,4,,3,,25,1,4,,True,
channelA_2025-05-16_16-53-53.wav,21,,19,0,4,,3,,25,1,4,,True,
channelA_2025-05-16_16-53-58.wav,21,,5,0,4,,3,,0,1,4,,True,
channelA_2025-05-16_16-54-03.wav,21,,5,0,4,,3,,0,1,4,,True,
channelA_2025-05-16_16-54-08.wav,21,,19,14,4,,3,,0,1,4,,True,
channelA_2025-05-16_16-54-13.wav,21,,5,0,4,,3,,0,1,4,,True,
channelA_2025-05-16_16-54-18.wav,21,,19,14,4,,3,,0,1,4,,True,
channelA_2025-05-16_16-54-23.wav,21,,19,14,4,,3,,0,1,4,,True,
channelA_2025-05-16_16-54-28.wav,21,,5,21,4,,3,,0,1,4,,True,
channelA_2025-05-16_16-54-33.wav,21,,21,10,4,,3,,0,1,4,,True,
channelA_2025-05-16_16-54-38.wav,21,,5,12,4,,3,,0,1,4,,True,
channelA_2025-05-16_16-54-48.wav,21,,19,12,4,,3,,0,1,4,,True,
channelA_2025-05-16_16-54-53.wav,21,,5,12,4,,3,,0,1,4,,True,
channelA_2025-05-16_16-54-58.wav,21,7,5,14,4,0,3,1,0,1,4,0,True,
channelA_2025-05-16_17-00-03.wav,21,,20,12,5,,3,,25,1,5,,True,
channelA_2025-05-16_17-00-08.wav,21,,21,10,5,,3,,0,1,5,,True,
channelA_2025-05-16_17-00-13.wav,7,,11,11,3,,4,,0,0,3,,False,
channelA_2025-05-16_17-00-18.wav,21,,21,10,5,,3,,0,1,5,,True,
channelA_2025-05-16_17-00-23.wav,21,,19,12,5,,3,,25,1,5,,True,
channelA_2025-05-16_17-00-28.wav,21,,19,12,5,,3,,25,1,5,,True,
channelA_2025-05-16_17-00-33.wav,21,,20,12,5,,3,,25,1,5,,True,
channelA_2025-05-16_17-00-38.wav,21,,20,12,5,,3,,25,1,5,,True,
channelA_2025-05-16_17-00-43.wav,21,7,20,12,5,0,3,1,25,1,4,0,True,
channelA_2025-05-16_17-00-48.wav,21,,21,10,5,,3,,0,1,5,,True,
